Type,SavedIndex,Name,Centiseconds,Device,Unit,Network,Circuit,Universe,Channel,LOR Color,Web Color,Color Name
Channel,163,_Spare (Swirlies?) [L5.11],28279,LOR,5,AuxA,11,,,8421504,#808080,Gray
Channel,99,_Spare [L1.13],28279,LOR,1,Regular,13,,,8454016,#80FF80,LightGray
Channel,157,_Spare [L2.16],28279,LOR,2,AuxA,16,,,8421504,#808080,Gray
Channel,158,_Spare [L3.14],28279,LOR,3,AuxA,14,,,12632256,#C0C0C0,Silver
Channel,161,_Spare [L3.15],28279,LOR,3,AuxA,15,,,8421504,#808080,Gray
Channel,162,_Spare [L3.16],28279,LOR,3,AuxA,16,,,8421504,#808080,Gray
Channel,379,_Spare [L4.14],28279,LOR,4,AuxA,14,,,8421504,#808080,Gray
Channel,164,_Spare [L5.09],28279,LOR,5,AuxA,9,,,8421504,#808080,Gray
Channel,13,Bushes {L} [L3.07] (Multi),28279,LOR,3,AuxA,7,,,16512,#804000,SaddleBrown
Channel,14,Bushes {L} [L3.08] (W),28279,LOR,3,AuxA,8,,,16777215,#FFFFFF,White
Channel,15,Bushes {L} Low [L3.09] (Orn),28279,LOR,3,AuxA,9,,,33023,#FF8000,DarkOrange
Channel,165,Bushes {R} [L5.01] (R),28279,LOR,5,AuxA,1,,,255,#FF0000,Red
Channel,166,Bushes {R} [L5.02] (G),28279,LOR,5,AuxA,2,,,65280,#00FF00,Green
Channel,16,Bushes {R} [L5.03] (B),28279,LOR,5,AuxA,3,,,16711680,#0000FF,Blue
Channel,18,Bushes {R} [L5.04] (W),28279,LOR,5,AuxA,4,,,16777215,#FFFFFF,White
Channel,17,Bushes {R} [L5.05] (Vio),28279,LOR,5,AuxA,5,,,16711808,#8000FF,DarkViolet
Channel,19,Bushes {R} [L5.06] (Multi),28279,LOR,5,AuxA,6,,,65535,#FFFF00,Yellow
Channel,9,Bushes Center M5 [L4.01] (R),28279,LOR,4,AuxA,1,,,255,#FF0000,Red
Channel,10,Bushes Center M5 [L4.02] (G),28279,LOR,4,AuxA,2,,,65280,#00FF00,Green
Channel,11,Bushes Center M5 [L4.03] (B),28279,LOR,4,AuxA,3,,,16711680,#0000FF,Blue
Channel,12,Bushes Center M5 [L4.04] (Ww),28279,LOR,4,AuxA,4,,,14148607,#FFE3D7,MistyRose
Channel,20,Bushes Driveway [L1.06] (Pink),28279,LOR,1,Regular,6,,,16744703,#FF80FF,Violet
Channel,151,Bushes Driveway [L1.07] (W),28279,LOR,1,Regular,7,,,16777215,#FFFFFF,White
Channel,21,Bushes Side Rainbow [L2.08],28279,LOR,2,AuxA,8,,,32896,#808000,Olive
Channel,79,Candy Canes 1 [L2.01] (R),28279,LOR,2,AuxA,1,,,255,#FF0000,Red
Channel,80,Candy Canes 2 [L2.02] (G),28279,LOR,2,AuxA,2,,,65280,#00FF00,Green
Channel,81,Candy Canes 3 [L2.03] (R),28279,LOR,2,AuxA,3,,,255,#FF0000,Red
Channel,82,Candy Canes 4 [L2.04] (G),28279,LOR,2,AuxA,4,,,65280,#00FF00,Green
Channel,130,Carolers Flood [U1.42 C.10] (R),28279,DMX,,,,1,42,255,#FF0000,Red
Channel,131,Carolers Flood [U1.43 C.11] (G),28279,DMX,,,,1,43,65280,#00FF00,Green
Channel,132,Carolers Flood [U1.44 C.12] (B),28279,DMX,,,,1,44,16711680,#0000FF,Blue
Channel,150,Countdown Timer (B) [L4.13],28279,LOR,4,AuxA,13,,,16711680,#0000FF,Blue
Channel,106,Disco Balls [L1.14],28279,LOR,1,Regular,14,,,8388863,#FF0080,DeepPink
Channel,5,Eaves Chase C9 [L1.01] (R),28279,LOR,1,Regular,1,,,255,#FF0000,Red
