Type,SavedIndex,Name,Centiseconds,Device,Unit,Network,Circuit,Universe,Channel,LOR Color,Web Color,Color Name
Channel,114,Tomato Tree A1 (L} [U1.01] (R),,DMX Universe,,,,1,1,255,#FF0000,Red
Channel,122,Tomato Tree A1 (L} [U1.02] (G),,DMX Universe,,,,1,2,65280,#00FF00,Green
Channel,31,Tomato Tree A1 (L} [U1.03] (B),,DMX Universe,,,,1,3,16711680,#0000FF,Blue
Channel,23,Tomato Tree A1 {L} [U1.04] (W),,DMX Universe,,,,1,4,16777215,#FFFFFF,White
Channel,35,Tomato Tree A2 [U1.05] (R),,DMX Universe,,,,1,5,255,#FF0000,Red
Channel,121,Tomato Tree A2 [U1.06] (G),,DMX Universe,,,,1,6,65280,#00FF00,Green
Channel,110,Tomato Tree A2 [U1.07] (B),,DMX Universe,,,,1,7,16711680,#0000FF,Blue
Channel,24,Tomato Tree A2 [U1.08] (W),,DMX Universe,,,,1,8,16777215,#FFFFFF,White
Channel,113,Tomato Tree A3 [U1.09] (R),,DMX Universe,,,,1,9,255,#FF0000,Red
Channel,120,Tomato Tree A3 [U1.10] (G),,DMX Universe,,,,1,10,65280,#00FF00,Green
Channel,32,Tomato Tree A3 [U1.11] (B),,DMX Universe,,,,1,11,16711680,#0000FF,Blue
Channel,25,Tomato Tree A3 [U1.12] (W),,DMX Universe,,,,1,12,16777215,#FFFFFF,White
Channel,36,Tomato Tree A4 {CL} [U1.13] (R),,DMX Universe,,,,1,13,255,#FF0000,Red
Channel,119,Tomato Tree A4 {CL} [U1.14] (G),,DMX Universe,,,,1,14,65280,#00FF00,Green
Channel,109,Tomato Tree A4 {CL} [U1.15] (B),,DMX Universe,,,,1,15,16711680,#0000FF,Blue
Channel,26,Tomato Tree A4 {CL} [U1.16] (W),,DMX Universe,,,,1,16,16777215,#FFFFFF,White
Channel,112,Tomato Tree A5 {CR} [U1.17] (R),,DMX Universe,,,,1,17,255,#FF0000,Red
Channel,118,Tomato Tree A5 {CR} [U1.18] (G),,DMX Universe,,,,1,18,65280,#00FF00,Green
Channel,33,Tomato Tree A5 {CR} [U1.19] (B),,DMX Universe,,,,1,19,16711680,#0000FF,Blue
Channel,27,Tomato Tree A5 {CR} [U1.20] (W),,DMX Universe,,,,1,20,16777215,#FFFFFF,White
Channel,37,Tomato Tree A6 [U1.21] (R),,DMX Universe,,,,1,21,255,#FF0000,Red
Channel,117,Tomato Tree A6 [U1.22] (G),,DMX Universe,,,,1,22,65280,#00FF00,Green
Channel,108,Tomato Tree A6 [U1.23] (B),,DMX Universe,,,,1,23,16711680,#0000FF,Blue
Channel,28,Tomato Tree A6 [U1.24] (W),,DMX Universe,,,,1,24,16777215,#FFFFFF,White
Channel,111,Tomato Tree A7 [U1.25] (R),,DMX Universe,,,,1,25,255,#FF0000,Red
Channel,116,Tomato Tree A7 [U1.26] (G),,DMX Universe,,,,1,26,65280,#00FF00,Green
Channel,91,Snowflakes Projectors [L4.11] (WB),,DMX Universe,,,,1,27,16777215,#FFFFFF,White
Channel,34,Tomato Tree A7 [U1.27] (B),,DMX Universe,,,,1,27,16711680,#0000FF,Blue
Channel,29,Tomato Tree A7 [U1.28] (W),,DMX Universe,,,,1,28,16777215,#FFFFFF,White
Channel,38,Tomato Tree A8 {R} [U1.29] (R),,DMX Universe,,,,1,29,255,#FF0000,Red
Channel,115,Tomato Tree A8 {R} [U1.30] (G),,DMX Universe,,,,1,30,65280,#00FF00,Green
Channel,107,Tomato Tree A8 {R} [U1.31] (B),,DMX Universe,,,,1,31,16711680,#0000FF,Blue
Channel,30,Tomato Tree A8 {R} [U1.32] (W),,DMX Universe,,,,1,32,16777215,#FFFFFF,White
Channel,93,Festivus Pole Flood [U1.33 C.01] (R),,DMX Universe,,,,1,33,255,#FF0000,Red
Channel,93,Festivus Pole Flood [U1.34 C.02] (G),,DMX Universe,,,,1,34,65280,#00FF00,Green
Channel,93,Festivus Pole Flood [U1.35 C.03] (B),,DMX Universe,,,,1,35,16711680,#0000FF,Blue
Channel,94,Manger Flood {L} [U1.36 C.04] (R),,DMX Universe,,,,1,36,255,#FF0000,Red
Channel,94,Manger Flood {L} [U1.37 C.05] (G),,DMX Universe,,,,1,37,65280,#00FF00,Green
Channel,94,Manger Flood {L} [U1.38 C.06] (B),,DMX Universe,,,,1,38,16711680,#0000FF,Blue
Channel,95,Manger Flood {R} [U1.39 C.07] (R),,DMX Universe,,,,1,39,255,#FF0000,Red
Channel,95,Manger Flood {R} [U1.40 C.08] (G),,DMX Universe,,,,1,40,65280,#00FF00,Green
Channel,95,Manger Flood {R} [U1.41 C.09] (B),,DMX Universe,,,,1,41,16711680,#0000FF,Blue
Channel,14,Carolers Flood [U1.42 C.10] (R),,DMX Universe,,,,1,42,16777215,#FFFFFF,White
Channel,14,Carolers Flood [U1.43 C.11] (G),,DMX Universe,,,,1,43,65280,#00FF00,Green
Channel,14,Carolers Flood [U1.44 C.12] (B),,DMX Universe,,,,1,44,16711680,#0000FF,Blue
Channel,153,Roof Ridgeline {L} [U1.45 C.13] (R),,DMX Universe,,,,1,45,255,#FF0000,Red
Channel,154,Roof Ridgeline {L} [U1.46 C.14] (G),,DMX Universe,,,,1,46,65280,#00FF00,Green
Channel,155,Roof Ridgeline {L} [U1.47 C.15] (B),,DMX Universe,,,,1,47,16711680,#0000FF,Blue
Channel,156,Roof Ridgeline {R} [U1.48 C.16] (R),,DMX Universe,,,,1,48,255,#FF0000,Red
Channel,157,Roof Ridgeline {R} [U1.49 C.17] (G),,DMX Universe,,,,1,49,65280,#00FF00,Green
Channel,158,Roof Ridgeline {R} [U1.50 C.18] (B),,DMX Universe,,,,1,50,16711680,#0000FF,Blue
Channel,7,Eaves Chase C9 [L1.01] (R),,LOR,1,Aux@,1,,,255,#FF0000,Red
Channel,8,Eaves Chase C9 [L1.02] (G),,LOR,1,Aux@,2,,,65280,#00FF00,Green
Channel,6,Eaves Chase C9 [L1.03] (B),,LOR,1,Aux@,3,,,16711680,#0000FF,Blue
Channel,9,Eaves Chase C9 [L1.04] (W),,LOR,1,Aux@,4,,,16777215,#FFFFFF,White
Channel,39,Master Power Low [L1.05],,LOR,1,Aux@,5,,,65535,#FFFF00,Yellow
Channel,42,Bushes Driveway [L1.06] (Pink),,LOR,1,Aux@,6,,,16711935,#FF00FF,Magenta
Channel,99,Bushes Driveway Bush [L1.07] (W),,LOR,1,Aux@,7,,,16777215,#FFFFFF,White
Channel,97,Wreath Leaves [L1.08],,LOR,1,Aux@,8,,,65280,#00FF00,Green
Channel,98,Wreath Berries [L1.09],,LOR,1,Aux@,9,,,255,#FF0000,Red
Channel,22,UFOs {R} [L1.10] (RGB),,LOR,1,Aux@,10,,,16777215,#FFFFFF,White
Channel,43,Snow Lake (W) [L1.11],,LOR,1,Aux@,11,,,16777215,#FFFFFF,White
Channel,40,Master Power High [L1.12],,LOR,1,Aux@,12,,,65535,#FFFF00,Yellow
